Timecode,BlendShapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
00:32:10:41.924,61,0.0135452850,0.1764592826,0.0605632886,0.0000000000,0.0000000000,0.0721240267,0.0000000000,0.0136035224,0.1762729287,0.0580930039,0.0000000000,0.0000000000,0.0718950406,0.0000000000,0.0909610763,0.0000000000,0.0241954252,0.0881822854,0.0881822854,0.0801340789,0.0599809885,0.0000000000,0.0851365477,0.0653110445,0.0899574682,0.0000000000,0.0000000000,0.0855652243,0.0890292525,0.1373448670,0.1697140783,0.0782808885,0.0506096408,0.1108364314,0.2017112672,0.0651755035,0.0648746789,0.0937312990,0.1102771685,0.0606213287,0.0679363459,0.3169536591,0.3171963990,0.0455571823,0.0000000000,0.0000000000,0.0219676625,0.1161072627,0.1068732813,0.1836670935,0.1775466800,0.0004268088,0.0000000000,0.0000000000,0.0000000000,-0.0352813862,0.1077463329,-0.0038154083,0.0367811881,0.1078660861,0.0039819833
00:32:10:42.925,61,0.0138603318,0.1768419743,0.0604372956,0.0000000000,0.0000000000,0.0721431598,0.0000000000,0.0139181959,0.1766544431,0.0582191050,0.0000000000,0.0000000000,0.0719165802,0.0000000000,0.0904201642,0.0000000000,0.0212200340,0.0882832408,0.0882832408,0.0806467608,0.0604774542,0.0000000000,0.0849005356,0.0654328614,0.0924263671,0.0000000000,0.0000000000,0.0853692964,0.0888439044,0.1376699805,0.1695982218,0.0777296051,0.0503674708,0.1103326976,0.2009135932,0.0650870427,0.0648164600,0.0938453600,0.1103351861,0.0607295781,0.0680315346,0.3164009452,0.3166469634,0.0457364246,0.0000000000,0.0000000000,0.0220339503,0.1162791029,0.1072681695,0.1837374866,0.1777393371,0.0005211268,0.0000000000,0.0000000000,0.0000000000,-0.0353570729,0.1079798192,-0.0038319414,0.0367037393,0.1080997065,0.0039822762
00:32:10:43.926,61,0.0142790228,0.1771618277,0.0599781796,0.0000000000,0.0000000000,0.0721782893,0.0000000000,0.0143368170,0.1769707650,0.0586863235,0.0000000000,0.0000000000,0.0719531998,0.0000000000,0.0894951522,0.0000000000,0.0178953949,0.0885421261,0.0885421261,0.0814452544,0.0670641214,0.0000000000,0.0849859193,0.0655682981,0.0935807452,0.0000000000,0.0000000000,0.0849620774,0.0884464085,0.1375021338,0.1678255796,0.0771349370,0.0502040014,0.1088569760,0.1937424839,0.0651582032,0.0649416968,0.0943229795,0.1106658950,0.0604510680,0.0676420480,0.3137614429,0.3140159845,0.0459873453,0.0000000000,0.0000000000,0.0222604573,0.1163808703,0.1076263040,0.1835081726,0.1775312722,0.0005548088,0.0000000000,0.0000000000,0.0000000000,-0.0356400684,0.1081742644,-0.0038696085,0.0364241451,0.1082941219,0.0039591170
00:32:10:44.926,61,0.0145482719,0.1769243330,0.0586681440,0.0000000000,0.0000000000,0.0720374510,0.0000000000,0.0146098426,0.1767227352,0.0600567684,0.0000000000,0.0000000000,0.0718075484,0.0000000000,0.0797050372,0.0000000000,0.0173533242,0.0903546214,0.0903546214,0.0997284204,0.1408845484,0.0000000000,0.1473514140,0.0539854243,0.0533993617,0.0000000000,0.0000000000,0.0791377425,0.0828797966,0.1259966195,0.1618229300,0.0766373724,0.0499080047,0.1074805483,0.1876862645,0.0654644221,0.0653200224,0.0949487165,0.1108490676,0.0582569353,0.0633445904,0.3020217121,0.3022621572,0.0462755635,0.0000000000,0.0000000000,0.0241471548,0.1141875461,0.1073317826,0.1788121313,0.1689100564,0.0005085385,0.0000000000,0.0000000000,0.0000000000,-0.0364729390,0.1080259159,-0.0039545232,0.0356291384,0.1081458330,0.0038673976
00:32:10:45.927,61,0.0144932838,0.1727046371,0.0562787540,0.0000000000,0.0000000000,0.0719697699,0.0000000000,0.0145614138,0.1724845022,0.0625879765,0.0000000000,0.0000000000,0.0717028901,0.0000000000,0.0684892833,0.0000000000,0.0832628161,0.0974073559,0.0974073559,0.1395909041,0.2732710838,0.0000000000,0.3070704937,0.0278830081,0.0068704868,0.0000000000,0.0000000000,0.0676826984,0.0731903911,0.1026518568,0.1600933224,0.0798158869,0.0495576970,0.1075540036,0.1859797984,0.0697439983,0.0712150410,0.0955757871,0.1107460186,0.0544382557,0.0583907291,0.2811717987,0.2815656066,0.0467374176,0.0000000000,0.0000000000,0.0471549630,0.1068406850,0.1041150168,0.1684792787,0.1455982625,0.0003486453,0.0000000000,0.0000000000,0.0000000000,-0.0380206965,0.1054412872,-0.0040228828,0.0341875181,0.1055611745,0.0036216178
00:32:10:46.927,61,0.0143972114,0.1689532995,0.0545982793,0.0000000000,0.0000000000,0.0718210116,0.0000000000,0.0144739961,0.1687208861,0.0644256845,0.0000000000,0.0000000000,0.0715045556,0.0000000000,0.0595857501,0.0000000000,0.1005574763,0.1067864150,0.1067864150,0.1829547435,0.3829399049,0.0000000000,0.3531369269,0.0199778266,0.0000000000,0.0000000000,0.0175482705,0.0612362288,0.0674464181,0.0950372219,0.1595970541,0.0851385891,0.0490358323,0.1090716720,0.1883135885,0.0746500567,0.0771409348,0.0968973637,0.1106291637,0.0521203503,0.0554887764,0.2745280862,0.2749641240,0.0472982302,0.0000000000,0.0000000000,0.0589091145,0.1008886173,0.1003007889,0.1637916118,0.1381955445,0.0002156281,0.0000000000,0.0000000000,0.0000000000,-0.0391464606,0.1031450331,-0.0040510860,0.0331746526,0.1032647341,0.0034373568
00:32:10:47.928,61,0.0147725698,0.1705535203,0.0553790480,0.0000000000,0.0000000000,0.0716352239,0.0000000000,0.0148857459,0.1703263670,0.0636534691,0.0000000000,0.0000000000,0.0712800324,0.0000000000,0.0520868860,0.0000000000,0.1043836176,0.1379490346,0.1379490346,0.2407842875,0.4386176467,0.0000000000,0.3451230228,0.0134883728,0.0000000000,0.0000000000,0.0340239890,0.0568906963,0.0636031106,0.0909155905,0.1592579633,0.0901657790,0.0485592782,0.1070815474,0.1803395152,0.0764150769,0.0792762637,0.1045418680,0.1111094728,0.0494299978,0.0521242023,0.2757230401,0.2761855125,0.0478370599,0.0000000000,0.0000000000,0.0644294471,0.0980065763,0.0986668840,0.1617817283,0.1348063499,0.0001833225,0.0000000000,0.0000000000,0.0000000000,-0.0386733077,0.1041245982,-0.0040404289,0.0336456336,0.1042444184,0.0035194510
00:32:10:48.929,61,0.0741309822,0.1761472523,0.0603600405,0.0000000000,0.0000000000,0.0714161322,0.0000000000,0.0742088556,0.1759561896,0.0588689186,0.0000000000,0.0000000000,0.0710489750,0.0000000000,0.0485724546,0.0000000000,0.0784777179,0.2397393584,0.2397393584,0.3999630213,0.3925003707,0.0000000000,0.1894103587,0.0111034187,0.0000000000,0.0000000000,0.0342383012,0.0554770604,0.0624978468,0.0948913842,0.1594640166,0.0917103887,0.0489085764,0.0612114295,0.1572066993,0.0735936463,0.0758068040,0.1344783008,0.1474175304,0.0486433581,0.0509954505,0.3154004812,0.3156847656,0.0483228937,0.0000000000,0.0000000000,0.0606802031,0.0982518271,0.0984484255,0.1829939783,0.1775600016,0.0002450576,0.0000000000,0.0000000000,0.0000000000,-0.0357533656,0.1075545251,-0.0038594913,0.0366585068,0.1076748744,0.0039616171
00:32:10:49.929,61,0.1846356243,0.2127297372,0.0861217454,0.0000000000,0.0000000000,0.0946537703,0.0000000000,0.1853960007,0.2127802819,0.0325736403,0.0000000000,0.0000000000,0.0933469385,0.0000000000,0.0473735370,0.0000000000,0.1409568787,0.3730592132,0.3324653208,0.5763970613,0.3485971093,0.0000000000,0.2097719610,0.0114704072,0.0000000000,0.0000000000,0.0365390666,0.0804489851,0.0992851779,0.1024438590,0.2104396969,0.1060667560,0.1001194492,0.0494947657,0.1996309906,0.0725942254,0.0747203976,0.1440296173,0.1604984999,0.0997021869,0.1017801762,0.4247428179,0.4250164926,0.0483485907,0.0000000000,0.0000000000,0.0462607220,0.1603462547,0.1438722461,0.2668013275,0.2402056009,0.0004391389,0.0000000000,0.0000000000,0.0000000000,-0.0197302345,0.1300055534,-0.0025794157,0.0521648042,0.1301272064,0.0068234345
00:32:10:50.930,61,0.6345054507,0.3326604366,0.0868104175,0.0000000000,0.0000000000,0.1469053775,0.0000000000,0.6327437162,0.3328762650,0.0263119880,0.0000000000,0.0000000000,0.1451902092,0.0000000000,0.0925369188,0.0000000000,0.0966113284,0.3266718686,0.2257830799,0.5558873415,0.1722482741,0.0000000000,0.0694712624,0.0492020547,0.0060982779,0.0000000000,0.0000000000,0.1491488218,0.1558761299,0.1304209828,0.2082375884,0.1028229371,0.1165508702,0.0435277000,0.2087280303,0.0732992589,0.0746313930,0.1578895748,0.1859159172,0.1714941859,0.1726140231,0.5608806610,0.5610052943,0.0482396483,0.0000000000,0.0000000000,0.0311127678,0.2912509441,0.2553774118,0.4093495309,0.3831997514,0.0006571439,0.0000000000,0.0000000000,0.0000000000,-0.0157418996,0.2033681124,-0.0032461323,0.0519373268,0.2034889460,0.0107117761
00:32:10:51.931,61,0.8128314018,0.3962635398,0.0698324367,0.0000000000,0.0000000000,0.1835514903,0.0000000000,0.8123828173,0.3963140845,0.0382583030,0.0000000000,0.0000000000,0.1820879728,0.0000000000,0.1403724551,0.0000000000,0.0884753242,0.2640250325,0.1256175786,0.3927091360,0.1138765812,0.0000000000,0.0386000164,0.1385155767,0.1226751357,0.0000000000,0.0000000000,0.1687481552,0.1725643426,0.1312662959,0.1571530402,0.0794502795,0.1119494066,0.0414664373,0.2238241732,0.1215131655,0.1094097942,0.2131712735,0.2491747141,0.2915113866,0.3044712245,0.6824873686,0.6825574636,0.0478559025,0.0000000000,0.0000000000,0.0245281048,0.3775617182,0.3551417589,0.6251858473,0.5947191119,0.0007401801,0.0000000000,0.0000000000,0.0000000000,-0.0226890128,0.2421580553,-0.0056037656,0.0414138138,0.2422755361,0.0102313077
00:32:10:52.931,61,0.8459731340,0.3733980060,0.0628578588,0.0000000000,0.0000000000,0.1994875968,0.0000000000,0.8459559679,0.3733289242,0.0460124351,0.0000000000,0.0000000000,0.1976483166,0.0000000000,0.1811459959,0.0000000000,0.1540037245,0.2479276359,0.0789568275,0.2205546200,0.0637592971,0.0000000000,0.0334039703,0.2648291886,0.1928401589,0.0000000000,0.0000000000,0.1792736799,0.1815770268,0.1335982978,0.2053589374,0.0725197792,0.0695378929,0.0421498008,0.3427632749,0.1341112256,0.1184930056,0.2285712808,0.2687945962,0.4791703522,0.4779422581,0.7483145595,0.7483920455,0.0467270911,0.0000000000,0.0000000000,0.0202863030,0.4095994234,0.3660400510,0.7529876232,0.7227355242,0.0006262803,0.0000000000,0.0000000000,0.0000000000,-0.0273794644,0.2281406969,-0.0063561667,0.0374026708,0.2282583565,0.0086866561
00:32:10:53.932,61,0.8718405366,0.3740121424,0.0449824482,0.0000000000,0.0000000000,0.2074265182,0.0000000000,0.8719097972,0.3736813664,0.0638603419,0.0000000000,0.0000000000,0.2054814845,0.0000000000,0.2353297919,0.0000000000,0.1697704196,0.2586719096,0.0574682541,0.1617468446,0.0434453562,0.0000000000,0.0307547115,0.3765623569,0.2837176919,0.0000000000,0.0000000000,0.2051035613,0.1979327798,0.1549878120,0.2597311735,0.0668677539,0.0582653768,0.0433356538,0.3845700026,0.1407039911,0.1232281029,0.2462680191,0.3060279489,0.5914095044,0.5875541568,0.7784972191,0.7785647511,0.0449391864,0.0000000000,0.0000000000,0.0175708476,0.4277992547,0.3785912991,0.8070594072,0.7816703320,0.0004298203,0.0000000000,0.0000000000,0.0000000000,-0.0379976369,0.2284368277,-0.0088319080,0.0267639924,0.2285543829,0.0062249890
00:32:10:54.932,61,0.8705592155,0.3949763477,0.0379205681,0.0000000000,0.0000000000,0.2118244767,0.0000000000,0.8706427813,0.3945333660,0.0705122352,0.0000000000,0.0000000000,0.2098129988,0.0000000000,0.2568845153,0.0000000000,0.1784248054,0.2636485696,0.0461871698,0.1305270493,0.0331576355,0.0000000000,0.0291135348,0.4784296751,0.3683434129,0.0000000000,0.0000000000,0.2398111671,0.2338825464,0.1793313324,0.3047369123,0.0629688501,0.0514183007,0.0464231074,0.4276217222,0.1447987407,0.1261365861,0.2715499699,0.3287070096,0.6401584744,0.6339120269,0.7943597436,0.7944259048,0.0428302065,0.0000000000,0.0000000000,0.0158703253,0.4528002143,0.4065261483,0.8356529474,0.8134673834,0.0002074345,0.0000000000,0.0000000000,0.0000000000,-0.0418278463,0.2412219048,-0.0102867940,0.0224932563,0.2413396090,0.0055358992
00:32:10:55.933,61,0.8743027449,0.4037585855,0.0384304561,0.0000000000,0.0000000000,0.2131520212,0.0000000000,0.8744013309,0.4033316076,0.0688607991,0.0000000000,0.0000000000,0.2110621035,0.0000000000,0.2666644156,0.0000000000,0.1824885607,0.2647820711,0.0398830846,0.1145900264,0.0285866018,0.0000000000,0.0293591321,0.5180783868,0.4153660536,0.0000000000,0.0000000000,0.2563083172,0.2459909618,0.1871215403,0.3127987683,0.0609354302,0.0463771857,0.0519815348,0.4499000311,0.1603578925,0.1372803748,0.2809525132,0.3382318020,0.6796980500,0.6736248732,0.8092019558,0.8092546463,0.0402585380,0.0000000000,0.0000000000,0.0146746496,0.4639025927,0.4178175926,0.8553038836,0.8363512754,0.0000772371,0.0000000000,0.0000000000,0.0000000000,-0.0407936610,0.2465906590,-0.0102651045,0.0227652751,0.2467073649,0.0057325927
00:32:10:56.934,61,0.8652431965,0.4462558329,0.0339232050,0.0000000000,0.0000000000,0.2070139945,0.0000000000,0.8652737141,0.4457234740,0.0737001300,0.0000000000,0.0000000000,0.2051290721,0.0000000000,0.2706079781,0.0000000000,0.1766983867,0.2555546165,0.0357083231,0.1060407385,0.0263862424,0.0000000000,0.0294265021,0.5605617762,0.4735448360,0.0000000000,0.0000000000,0.2639091313,0.2522606850,0.1910285205,0.3076837361,0.0585257262,0.0423542410,0.0540705547,0.4609912634,0.1667269319,0.1420484334,0.3330101967,0.3743243814,0.7131180763,0.7079824805,0.8156338930,0.8156802654,0.0378394276,0.0000000000,0.0000000000,0.0137321781,0.4640986323,0.4218024611,0.8676211834,0.8517456651,0.0001134672,0.0000000000,0.0000000000,0.0000000000,-0.0433612689,0.2725396752,-0.0121148368,0.0199571978,0.2726579010,0.0055800378
00:32:10:57.934,61,0.8637825251,0.4583360851,0.0338114202,0.0000000000,0.0000000000,0.1984045058,0.0000000000,0.8637961745,0.4577963054,0.0735866055,0.0000000000,0.0000000000,0.1969471723,0.0000000000,0.2675300837,0.0000000000,0.1143388897,0.2448657751,0.0333385840,0.1043318361,0.0264863223,0.0000000000,0.0294746812,0.5771104693,0.4990223944,0.0000000000,0.0000000000,0.2675844729,0.2549224794,0.1880567372,0.2471982241,0.0562660918,0.0402937159,0.0552797653,0.4635876417,0.1704630703,0.1455931962,0.3476045728,0.3846150637,0.7259417772,0.7210946679,0.8187255859,0.8187674284,0.0362584330,0.0000000000,0.0000000000,0.0130086634,0.4634202719,0.4242555499,0.8730953932,0.8583657146,0.0001769838,0.0000000000,0.0000000000,0.0000000000,-0.0432041027,0.2799201012,-0.0124152862,0.0198498499,0.2800382972,0.0057082954
00:32:10:58.935,61,0.8640930653,0.4595202506,0.0449015759,0.0000000000,0.0000000000,0.1923791170,0.0000000000,0.8640840650,0.4591750503,0.0623443089,0.0000000000,0.0000000000,0.1911520064,0.0000000000,0.2627209425,0.0000000000,0.0979456753,0.2358888090,0.0318645872,0.1122130156,0.0287063457,0.0000000000,0.0291487779,0.5826374888,0.5093157887,0.0000000000,0.0000000000,0.2695332766,0.2558135986,0.1830682158,0.2312996536,0.0550932735,0.0390129127,0.0566515662,0.4656475782,0.1769764721,0.1511137635,0.3418928385,0.3650885224,0.7328484654,0.7280321121,0.8212577701,0.8212898374,0.0347927362,0.0000000000,0.0000000000,0.0124209980,0.4625026882,0.4254319370,0.8760555387,0.8619246483,0.0004218709,0.0000000000,0.0000000000,0.0000000000,-0.0365949199,0.2806871235,-0.0105475113,0.0263550058,0.2808051407,0.0076004486
